book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
Harold Abelson / Gerald Jay Sussman / Julie Sussman,https://book.douban.com/subject/1148282/,2004-2,机械工业出版社,1690人评价,9.5,https://img5.doubanio.com/lpic/s1113106.jpg,计算机程序的构造和解释
[美]约翰.墨菲,https://book.douban.com/subject/1089991/,1994-5-1,地震出版社,1674人评价,9.1,https://img1.doubanio.com/lpic/s2141099.jpg,期货市场技术分析
本杰明·格雷厄姆 / Benjamin Graham,https://book.douban.com/subject/5243775/,2010-8,人民邮电出版社,2243人评价,9.0,https://img3.doubanio.com/lpic/s6462582.jpg,聪明的投资者
[美]彼得·考夫曼 (编),https://book.douban.com/subject/5346110/,2010-10-01,上海人民出版社,3446人评价,9.0,https://img1.doubanio.com/lpic/s4532008.jpg,穷查理宝典
李娟,https://book.douban.com/subject/10522856/,2012-6,新星出版社,7386人评价,9.0,https://img3.doubanio.com/lpic/s8958901.jpg,冬牧场
[德] 瓦尔特·莫尔斯,https://book.douban.com/subject/1007952/,2002-1,人民文学出版社,1744人评价,9.4,https://img3.doubanio.com/lpic/s1081342.jpg,蓝熊船长的13条半命
[英] 吉米·哈利（James Herriot）,https://book.douban.com/subject/4714015/,2010-05,中国城市出版社,4199人评价,9.0,https://img1.doubanio.com/lpic/s4245447.jpg,万物既伟大又渺小
阿城,https://book.douban.com/subject/1830445/,2011-3,北京燕山出版社,3320人评价,9.0,https://img3.doubanio.com/lpic/s8963180.jpg,阿城精选集
陈秋平 / 尚荣,https://book.douban.com/subject/2381748/,2007-12-1,中华书局,2181人评价,9.1,https://img3.doubanio.com/lpic/s10320050.jpg,金刚经 心经 坛经
(美)保罗﹒萨缪尔森 / （美）诺德豪斯,https://book.douban.com/subject/1082593/,2004-1,人民邮电出版社,1632人评价,9.1,https://img3.doubanio.com/lpic/s1222291.jpg,经济学
泰戈尔,https://book.douban.com/subject/1762527/,1992,上海译文出版社,1888人评价,9.1,https://img1.doubanio.com/lpic/s1665389.jpg,飞鸟集
顾城,https://book.douban.com/subject/3544376/,2009-1,江苏文艺出版社,3748人评价,9.1,https://img1.doubanio.com/lpic/s4084467.jpg,顾城的诗 顾城的画
[日] 原研哉,https://book.douban.com/subject/4230237/,2010-09,广西师范大学出版社,5795人评价,9.0,https://img3.doubanio.com/lpic/s4473054.jpg,设计中的设计 | 全本
宗萨钦哲仁波切,https://book.douban.com/subject/1812011/,2006-5,甘肃民族出版社,2038人评价,9.0,https://img1.doubanio.com/lpic/s2183228.jpg,佛教的见地与修道
何兆武（口述） / 文靖,https://book.douban.com/subject/3260831/,2008-9,生活·读书·新知三联书店,2187人评价,9.0,https://img5.doubanio.com/lpic/s5951026.jpg,上学记
[德] 叔本华,https://book.douban.com/subject/3261600/,2008-10,上海人民出版社,5792人评价,9.3,https://img3.doubanio.com/lpic/s4619775.jpg,人生的智慧
[俄]康·帕乌斯托夫斯基,https://book.douban.com/subject/2042633/,2007-3,上海译文出版社,2372人评价,9.0,https://img3.doubanio.com/lpic/s2358972.jpg,金蔷薇
志摩千岁,https://book.douban.com/subject/2045811/,2011-12,上海书店出版社,2109人评价,9.0,https://img3.doubanio.com/lpic/s24485803.jpg,张国荣的时光
汪曾祺,https://book.douban.com/subject/4238144/,2010-1-1,生活·读书·新知三联书店,2716人评价,9.1,https://img3.doubanio.com/lpic/s4158862.jpg,岁朝清供
